Freq.	V(out)
1.10182159619861e-002	-4.27196709860454e-002,7.39172864339218e-002
1.10230513176125e-002	-4.27568361345024e-002,7.39538166321393e-002
1.10278887952397e-002	-4.27940333191374e-002,7.39903682063235e-002
1.10327283957991e-002	-4.28312625670467e-002,7.40269411727982e-002
1.10375701202223e-002	-4.28685239053457e-002,7.40635355479029e-002
1.10424139694413e-002	-4.29058173611725e-002,7.41001513479932e-002
1.10472599443886e-002	-4.29431429616899e-002,7.41367885894411e-002
1.10521080459972e-002	-4.29805007340802e-002,7.41734472886347e-002
1.10569582752001e-002	-4.30178907055481e-002,7.42101274619781e-002
1.10618106329313e-002	-4.30553129033221e-002,7.42468291258918e-002
1.10666651201247e-002	-4.30927673546486e-002,7.42835522968121e-002
1.10715217377150e-002	-4.31302540868007e-002,7.43202969911920e-002
1.10763804866369e-002	-4.31677731270718e-002,7.43570632255005e-002
1.10812413678259e-002	-4.32053245027767e-002,7.43938510162230e-002
1.10861043822177e-002	-4.32429082412530e-002,7.44306603798608e-002
1.10909695307485e-002	-4.32805243698625e-002,7.44674913329324e-002
1.10958368143548e-002	-4.33181729159847e-002,7.45043438919714e-002
1.11007062339736e-002	-4.33558539070264e-002,7.45412180735288e-002
1.11055777905424e-002	-4.33935673704117e-002,7.45781138941712e-002
1.11104514849988e-002	-4.34313133335917e-002,7.46150313704821e-002
1.11153273182812e-002	-4.34690918240355e-002,7.46519705190610e-002
1.11202052913281e-002	-4.35069028692381e-002,7.46889313565242e-002
1.11250854050786e-002	-4.35447464967128e-002,7.47259138995039e-002
1.11299676604721e-002	-4.35826227340002e-002,7.47629181646495e-002
1.11348520584485e-002	-4.36205316086578e-002,7.47999441686259e-002
1.11397385999481e-002	-4.36584731482713e-002,7.48369919281157e-002
1.11446272859116e-002	-4.36964473804430e-002,7.48740614598168e-002
1.11495181172800e-002	-4.37344543328022e-002,7.49111527804444e-002
1.11544110949949e-002	-4.37724940329971e-002,7.49482659067299e-002
1.11593062199982e-002	-4.38105665086998e-002,7.49854008554214e-002
1.11642034932322e-002	-4.38486717876065e-002,7.50225576432837e-002
1.11691029156397e-002	-4.38868098974330e-002,7.50597362870978e-002
1.11740044881639e-002	-4.39249808659177e-002,7.50969368036615e-002
1.11789082117484e-002	-4.39631847208247e-002,7.51341592097897e-002
1.11838140873370e-002	-4.40014214899369e-002,7.51714035223133e-002
1.11887221158743e-002	-4.40396912010623e-002,7.52086697580802e-002
1.11936322983051e-002	-4.40779938820298e-002,7.52459579339550e-002
1.11985446355746e-002	-4.41163295606909e-002,7.52832680668188e-002
1.12034591286284e-002	-4.41546982649208e-002,7.53206001735696e-002
1.12083757784127e-002	-4.41931000226155e-002,7.53579542711222e-002
1.12132945858739e-002	-4.42315348616966e-002,7.53953303764082e-002
1.12182155519589e-002	-4.42700028101046e-002,7.54327285063757e-002
1.12231386776150e-002	-4.43085038958064e-002,7.54701486779901e-002
1.12280639637900e-002	-4.43470381467880e-002,7.55075909082331e-002
1.12329914114320e-002	-4.43856055910596e-002,7.55450552141035e-002
1.12379210214895e-002	-4.44242062566549e-002,7.55825416126172e-002
1.12428527949116e-002	-4.44628401716284e-002,7.56200501208064e-002
1.12477867326476e-002	-4.45015073640604e-002,7.56575807557209e-002
1.12527228356474e-002	-4.45402078620497e-002,7.56951335344267e-002
1.12576611048611e-002	-4.45789416937203e-002,7.57327084740073e-002
1.12626015412395e-002	-4.46177088872216e-002,7.57703055915634e-002
1.12675441457336e-002	-4.46565094707191e-002,7.58079249042117e-002
1.12724889192948e-002	-4.46953434724058e-002,7.58455664290865e-002
1.12774358628751e-002	-4.47342109204990e-002,7.58832301833397e-002
1.12823849774267e-002	-4.47731118432342e-002,7.59209161841391e-002
1.12873362639025e-002	-4.48120462688718e-002,7.59586244486701e-002
1.12922897232555e-002	-4.48510142256969e-002,7.59963549941356e-002
1.12972453564394e-002	-4.48900157420145e-002,7.60341078377550e-002
1.13022031644080e-002	-4.49290508461534e-002,7.60718829967647e-002
1.13071631481159e-002	-4.49681195664653e-002,7.61096804884188e-002
1.13121253085179e-002	-4.50072219313283e-002,7.61475003299887e-002
1.13170896465691e-002	-4.50463579691367e-002,7.61853425387619e-002
1.13220561632253e-002	-4.50855277083128e-002,7.62232071320442e-002
1.13270248594426e-002	-4.51247311773007e-002,7.62610941271581e-002
1.13319957361774e-002	-4.51639684045669e-002,7.62990035414436e-002
1.13369687943866e-002	-4.52032394186023e-002,7.63369353922578e-002
1.13419440350277e-002	-4.52425442479178e-002,7.63748896969748e-002
1.13469214590583e-002	-4.52818829210507e-002,7.64128664729866e-002
1.13519010674367e-002	-4.53212554665587e-002,7.64508657377019e-002
1.13568828611215e-002	-4.53606619130264e-002,7.64888875085475e-002
1.13618668410716e-002	-4.54001022890576e-002,7.65269318029668e-002
1.13668530082465e-002	-4.54395766232787e-002,7.65649986384208e-002
1.13718413636062e-002	-4.54790849443437e-002,7.66030880323882e-002
1.13768319081108e-002	-4.55186272809257e-002,7.66412000023648e-002
1.13818246427211e-002	-4.55582036617229e-002,7.66793345658638e-002
1.13868195683983e-002	-4.55978141154559e-002,7.67174917404163e-002
1.13918166861038e-002	-4.56374586708686e-002,7.67556715435703e-002
1.13968159967996e-002	-4.56771373567299e-002,7.67938739928918e-002
1.14018175014482e-002	-4.57168502018277e-002,7.68320991059638e-002
1.14068212010123e-002	-4.57565972349768e-002,7.68703469003873e-002
1.14118270964553e-002	-4.57963784850134e-002,7.69086173937805e-002
1.14168351887407e-002	-4.58361939807995e-002,7.69469106037796e-002
1.14218454788326e-002	-4.58760437512191e-002,7.69852265480383e-002
